Distance (km),altitude(meters)
42.501,279.7
42.535,282.5
42.57,285.1
42.604,287.5
42.639,289.9
42.674,292.1
42.709,294.1
42.744,296.5
42.778,299.1
42.814,300.4
42.849,302.6
42.884,305.2
42.918,308.2
42.952,310.5
42.987,313.1
43.022,316.1
43.057,319.6
43.091,322.4
43.123,325.4
43.153,328.4
43.182,332.4
43.208,336.1
43.231,337.8
43.255,338.8
43.28,340.1
43.305,340.9
43.331,342.2
43.358,343.5
43.385,344.9
43.413,346.3
43.442,346.8
43.47,347.4
43.499,348.6
43.528,349.9
43.558,351.7
43.589,352.9
43.62,352.8
43.653,352.6
43.686,352.8
43.719,353.2
43.753,353.4
43.788,354.8
43.823,355.5
43.859,356.6
43.896,357.6
43.933,358.2
43.97,358.8
44.008,359.1
44.046,359.7
44.085,360.5
44.124,360.8
44.163,361.4
44.203,362.5
44.243,363.3
44.283,363.6
44.324,363.4
44.364,364.5
44.404,366
44.444,366.2
44.485,366.6
44.525,367.3
44.565,367.8
44.605,369.8
44.645,372
44.686,372.5
44.726,373.4
44.766,375
44.806,375.9
44.846,376.8
44.886,377.4
44.926,378
44.966,378.4
45.006,378.6
45.046,379.5
45.086,379.5
45.126,379.4
45.166,380.2
45.206,381
45.246,382.3
45.286,384.1
45.326,384.8
45.365,385.3
45.405,388
45.445,390
45.485,390.3
45.525,390.6
45.565,390.8
45.606,392.6
45.646,394.5
45.686,396.7
45.726,397.1
45.766,397.5
45.806,398.4
45.846,399.3
45.886,400.1
45.925,400.2
45.964,400.5
46.003,400.6
46.043,400.9
46.082,402.1
46.121,403.2
46.159,404
46.195,404.3
46.23,404.9
46.264,405.6
46.298,405.3
46.331,405.7
46.364,405.7
46.397,405.8
46.431,406.2
46.466,406.9
46.501,407.9
46.537,408.8
46.574,409.4
46.613,409.9
46.652,410.5
46.691,411.3
46.73,412
46.77,412.9
46.81,414
46.851,415.5
46.891,417
46.931,418.1
46.971,418.7
47.011,419.6
47.051,420.4
47.092,420.8
47.132,420.9
47.173,421.2
47.213,421
47.252,420.4
47.292,419.7
47.331,419.7
47.371,420.3
47.411,419.7
47.451,419.8
47.491,420.2
47.532,420.1
47.572,420.8
47.611,421.3
47.649,421.9
47.688,422.5
47.726,423.1
47.765,422.8
47.804,422.4
47.843,422.4
47.883,421.8
47.923,420.1
47.963,419
48.004,418.8
48.044,419.8
48.084,419.8
48.124,419.3
48.164,419.7
48.203,418.6
48.242,418.7
48.282,418.8
48.322,417.8
48.363,416.7
48.403,415.4
48.444,416.2
48.484,417
48.525,417.8
48.565,418.4
48.606,418.3
48.646,417.7
48.686,417.8
48.727,417.4
48.767,416.7
48.807,416.5
48.847,415.9
48.887,415.5
48.926,415.4
48.963,415.8
48.999,417.1
49.035,418.8
49.071,418.8
49.107,418.3
49.145,417.6
49.183,416.9
49.223,416.9
49.263,417.3
49.303,416.2
49.343,415.5
49.382,415
49.422,413.9
49.462,412.8
49.502,411.6
49.541,411.5
49.58,412.1
49.615,413.4
49.649,413.8
49.68,413.6
49.708,411.8
49.734,410.3
49.761,410.2
49.788,409.9
49.816,409.4
49.845,410.6
49.875,412
49.907,413
49.939,413.9
49.972,414.9
50.006,415.9
50.04,417
50.075,418
50.111,418.5
50.147,418.7
50.183,418.9
50.22,419.5
50.258,420.6
50.296,421.4
50.334,422.8
50.373,424.3
50.412,425.2
50.451,426
50.49,426.7
50.529,426.7
50.569,426.5
50.609,426.3
50.648,425.9
50.688,426.1
50.728,426.4
50.767,425.9
50.805,425.4
50.842,424.4
50.877,424.6
50.911,424.4
50.942,424.2
50.973,422.5
51.005,420.4
51.038,418
51.072,416.2
51.107,414.6
51.144,413.1
51.181,412.1
51.22,411.4
51.259,410.9
51.299,410.3
51.339,409.5
51.379,408.5
51.421,406.9
51.462,404.8
51.503,402.4
51.544,399.8
51.584,398.1
51.624,397
51.662,396.5
51.701,396.8
51.739,395.5
51.777,394.4
51.815,393.2
51.853,391.7
51.891,390.9
51.93,389.3
51.97,387.2
52.01,384.9
52.051,383.4
52.092,381.5
52.134,380
52.175,378.7
52.216,377.4
52.254,375.3
52.291,373.7
52.325,372.5
52.357,371.7
52.389,371.3
52.422,370.4
52.456,370.7
52.492,371.2
52.528,370.6
52.566,369.5
52.606,367.6
52.645,365.1
52.685,364.2
52.725,362.9
52.765,361.6
52.805,360.5
52.846,358.3
52.886,356.5
52.926,355
52.966,353.9
53.007,353.9
53.047,354
53.088,354.1
53.129,354
53.17,352.7
53.21,351.3
53.251,350.9
53.292,350.5
53.332,349.3
53.373,347.2
53.413,345
53.453,343.8
53.493,342.4
53.533,341.4
53.573,341.4
53.612,340.3
53.651,338.9
53.689,337.3
53.727,335.4
53.765,334.2
53.803,333.2
53.841,332.8
53.879,333.3
53.917,331.4
53.956,329.6
53.995,328.4
54.035,327.9
54.075,326.9
54.116,326.6
54.156,326
54.196,325
54.235,323.6
54.272,322
54.305,320.7
54.337,320
54.366,320.1
54.393,320.3
54.42,320.6
54.449,320.5
54.479,318.9
54.51,317.2
54.543,314.5
54.577,310.1
54.614,306.3
54.652,301.8
54.691,297.4
54.73,294.1
54.77,290.9
54.811,287.5
54.852,284.3
54.895,280.5
54.938,275.4
54.981,271.3
55.024,267.9
55.067,264.1
55.11,260.2
55.154,256.7
55.196,254.6
55.238,252.3
55.281,250
55.323,247.1
55.365,243.8
55.407,242.3
55.442,242.2
55.474,242
55.501,241.5
55.524,240.5
55.544,239.4
55.562,238.2
55.581,236.8
55.602,235.2
55.624,233.7
55.649,231.5
55.675,229.1
55.703,226.6
55.733,224.3
55.765,223.1
55.799,221.6
55.834,219.6
55.871,217.4
55.909,215.3
55.948,213.6
55.987,211.6
56.027,209.1
56.067,207.3
56.107,207
56.148,206.3
56.188,205.1
56.229,203.7
56.27,202.2
56.311,200.6
56.352,199.3
56.393,198
56.434,196.5
56.474,194.9
56.515,191.9
56.556,189
56.597,186.3
56.639,183.6
56.68,181.2
56.721,179
56.763,176.7
56.805,173.6
56.846,170.3
56.887,167.5
56.929,165
56.97,163
57.01,161.7
57.051,160.2
57.091,157.8
57.131,155
57.169,153.6
57.207,152.1
57.245,149.9
57.284,147.1
57.323,144.3
57.363,142.2
57.405,139.6
57.446,136.8
57.487,134.1
57.528,131.8
57.571,129.9
57.612,127.9
57.654,125.2
57.695,122.8
57.737,120.8
57.778,118.8
57.819,117.3
57.86,116.7
57.901,116.6
57.941,118.3
57.981,119.9
58.021,121.3
58.059,122.5
58.098,123.7
58.136,124.8
58.175,125.9
58.214,126.5
58.252,127.2
58.29,127.8
58.329,128.1
58.368,128.4
58.407,130.2
58.446,132.5
58.484,133.7
58.522,134.3
58.559,135.1
58.596,135.5
58.632,136
58.669,136.7
58.705,137.3
58.742,137.6
58.779,137.4
58.816,137.2
58.854,137
58.891,137
58.924,136.4
58.952,135.5
58.976,134.6
58.996,133.7
59.014,132.4
59.032,130.8
59.05,129
59.07,127.1
59.093,125.5
59.117,123.9
59.142,122.3
59.17,120.8
59.2,119.4
59.23,117.5
59.26,115.4
59.291,113.6
59.322,112.2
59.353,110.5
59.385,108.6
59.42,107.4
59.454,105.8
59.49,103.8
59.528,102.2
59.565,100.9
59.598,100
59.628,99.7
59.655,99.4
59.68,99.2
59.704,98.6
59.729,97.5
59.756,96.4
59.785,95.1
59.815,93.9
59.843,92.6
59.872,91.4
59.9,90.3
59.919,89.6
59.935,88.9
59.947,88.4
59.956,87.9
59.962,87.5
59.967,87.2
59.973,87.2
59.979,87.4
59.989,87.9
60,88.4
60.011,89
60.023,89.6
60.034,89.9
60.046,89.9
60.057,90
60.074,89
60.091,88.2
60.108,87.6
60.127,87.1
60.146,86.9
60.168,86.4
60.19,85.4
60.213,85.1
60.237,85.1
60.262,85.6
60.288,86.1
60.315,86.4
60.342,86.9
60.371,87.2
60.4,86.9
60.431,86.7
60.462,86.7
60.493,86.8
60.525,86.7
60.557,86.4
60.59,85.8
60.624,85.3
60.658,84.7
60.692,84.7
60.728,84.6
60.763,84.7
60.798,84.8
60.833,84.1
60.867,82.5
60.899,81.6
60.93,81.2
60.958,80.8
60.984,80.3
61.008,80.1
61.03,79.4
61.051,78.4
61.069,77.7
61.086,77.1
61.101,76.7
61.113,76.4
61.124,76.3
61.132,76.1
61.139,76.1
61.144,76
61.148,75.9
61.152,75.8
61.155,75.8
61.159,75.9
61.162,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.163,76
61.166,76
61.17,76.1
61.175,76.2
61.181,76.3
61.187,76.4
61.194,76.6
61.202,76.8
61.211,77
61.22,77.3
61.229,77.6
61.238,78
61.248,78.4
61.258,78.9
61.269,79.4
61.279,79.7
61.289,80
61.299,80.1
61.309,80.2
61.319,80.3
61.328,80.5
61.338,80.6
61.346,80.7
61.355,80.8
61.363,80.9
61.371,81
61.379,81.1
61.387,81.2
61.394,81.3
61.402,81.4
61.409,81.7
61.416,82
61.422,82.2
